Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
,30,0,0,0,"0,00","100,000%","3,11042","2,65","0,00","874,0"
TOTAL,30,0,0,0,"0,00","100,000%","3,11042","2,65","0,00","874,0"
